# plWordNet	pol	http://plwordnet.pwr.wroc.pl/wordnet/	wordnet
00002312-a	pol:lemma	grzbietowy
00002452-n	pol:lemma	rzecz
00002684-n	pol:lemma	obiekt
00004258-n	pol:lemma	indywiduum
00004258-n	pol:lemma	istota żywa
00004258-n	pol:lemma	stworzenie
00004258-n	pol:lemma	twór
00004296-a	pol:lemma	przedagonalny
00004296-a	pol:lemma	przedzgonny
00004296-a	pol:lemma	przedśmiertny
00004296-a	pol:lemma	śmiertelny
00004475-n	pol:lemma	egzemplarz
00004475-n	pol:lemma	jednostka
00004475-n	pol:lemma	organizm
00004475-n	pol:lemma	osobnik
00005107-a	pol:lemma	długometrażowy
00005107-a	pol:lemma	pełnometrażowy
00005205-a	pol:lemma	absolutny
00005787-n	pol:lemma	bentos
00005930-n	pol:lemma	karzeł
00006024-n	pol:lemma	heterotrof
00006336-a	pol:lemma	chłonny
00006336-a	pol:lemma	wsiąkliwy
00006484-n	pol:lemma	komórka
00007331-a	pol:lemma	amortyzacyjny
00007846-n	pol:lemma	człowiek
00007846-n	pol:lemma	istota ludzka
00007846-n	pol:lemma	istota rozumna
00007846-n	pol:lemma	jednostka
00007846-n	pol:lemma	osoba
00007846-n	pol:lemma	persona
00008734-a	pol:lemma	absorbowalny
00008734-a	pol:lemma	wchłanialny
00009618-a	pol:lemma	ascetyczny
00010726-a	pol:lemma	łakomy
00010726-a	pol:lemma	łasy
00011327-a	pol:lemma	wieprzowaty
00012362-a	pol:lemma	konceptualny
00012362-a	pol:lemma	pojęciowy
00012689-a	pol:lemma	ideowy
00015247-a	pol:lemma	bujny
00015247-a	pol:lemma	gęsty
00015247-a	pol:lemma	rozrośnięty
00015388-n	pol:lemma	zwierzę
00015589-a	pol:lemma	długi
00016756-a	pol:lemma	deficytowy
00017222-n	pol:lemma	roślina
00019128-n	pol:lemma	obiekt naturalny
00019128-n	pol:lemma	przedmiot naturalny
00019128-n	pol:lemma	twór
00019613-n	pol:lemma	substancja
00020827-n	pol:lemma	materia
00021110-a	pol:lemma	pomocny
00021110-a	pol:lemma	uczynny
00021265-n	pol:lemma	jedzenie
00021265-n	pol:lemma	pokarm
00021265-n	pol:lemma	pożywienie
00021265-n	pol:lemma	żywność
00021766-a	pol:lemma	czuły
00021766-a	pol:lemma	dokładny
00021766-a	pol:lemma	precyzyjny
00021939-n	pol:lemma	przedmiot
00022903-n	pol:lemma	artykuł
00023271-n	pol:lemma	wiedza
00024619-a	pol:lemma	nawykły
00024619-a	pol:lemma	przywykły
00024619-a	pol:lemma	przyzwyczajony
00024720-n	pol:lemma	stan
00025470-a	pol:lemma	kwasowy
00025470-a	pol:lemma	kwaśny
00026168-a	pol:lemma	alkaliczny
00026168-a	pol:lemma	zasadowy
00026192-n	pol:lemma	doznanie
00026192-n	pol:lemma	odczucie
00026192-n	pol:lemma	uczucie
00026192-n	pol:lemma	wrażenie
00026388-a	pol:lemma	solny
00027167-n	pol:lemma	przestrzeń
00028270-n	pol:lemma	czas
00028984-a	pol:lemma	cichy
00029378-n	pol:lemma	historia
00029378-n	pol:lemma	wydarzenie
00029378-n	pol:lemma	wypadek
00029378-n	pol:lemma	zdarzenie
00029677-n	pol:lemma	proces
00029933-a	pol:lemma	chciwy
00029933-a	pol:lemma	pazerny
00029933-a	pol:lemma	zachłanny
00030358-n	pol:lemma	akt
00030358-n	pol:lemma	czyn
00030358-n	pol:lemma	działanie
00030358-n	pol:lemma	postępek
00030358-n	pol:lemma	uczynek
00030701-a	pol:lemma	grabieżczy
00030701-a	pol:lemma	rabunkowy
00030701-a	pol:lemma	łupieski
00030701-a	pol:lemma	łupieżczy
00031264-n	pol:lemma	skupienie
00031264-n	pol:lemma	skupisko
00031264-n	pol:lemma	zbiorowisko
00031921-n	pol:lemma	powiązanie
00031921-n	pol:lemma	zależność
00032497-a	pol:lemma	akrobatyczny
00032613-n	pol:lemma	dobra
00032733-a	pol:lemma	zwinny
00032823-n	pol:lemma	stosunek społeczny
00033020-n	pol:lemma	komunikat
00033615-n	pol:lemma	wielkość
00034213-n	pol:lemma	zjawisko
00034322-a	pol:lemma	flegmatyczny
00034322-a	pol:lemma	nieruchawy
00034322-a	pol:lemma	nieruchliwy
00034322-a	pol:lemma	ospały
00034322-a	pol:lemma	ślamazarny
00034322-a	pol:lemma	ślimaczy
00034322-a	pol:lemma	żółwi
00035189-n	pol:lemma	dojście
00035189-n	pol:lemma	dopięcie celu
00035189-n	pol:lemma	dopięcie swego
00035189-n	pol:lemma	odniesienie
00035189-n	pol:lemma	osiągnięcie
00035189-n	pol:lemma	postawienie na swoim
00035189-n	pol:lemma	wskóranie
00035189-n	pol:lemma	zwojowanie
00035697-n	pol:lemma	agon
00035868-a	pol:lemma	ruchliwy
00035868-a	pol:lemma	uczęszczany
00037200-n	pol:lemma	zasługa
00037653-a	pol:lemma	postępowy
00038573-n	pol:lemma	ślepa uliczka
00038573-n	pol:lemma	ślepy tor
00038573-n	pol:lemma	ślepy zaułek
00038750-a	pol:lemma	aktywny
00038750-a	pol:lemma	czynny
00039021-n	pol:lemma	interakcja
00039122-a	pol:lemma	aktywistyczny
00039297-n	pol:lemma	skontaktowanie
00039592-a	pol:lemma	bierny
00039592-a	pol:lemma	pasywny
00039916-n	pol:lemma	aport
00040962-n	pol:lemma	układzik
00041899-n	pol:lemma	uzyskanie
00042757-n	pol:lemma	odjazd
00043125-a	pol:lemma	bezczynny
